Row,Column,Well,Set,Plate,RandN,A630,A663,A750
G,5,G5,2,2A,121,0.075,0.173,0.043
H,5,H5,2,2A,122,0.059,0.111,0.044
A,6,A6,2,2A,123,0.072,0.164,0.045
B,6,B6,2,2A,124,0.072,0.158,0.043
C,6,C6,2,2A,125,0.053,0.096,0.042
D,6,D6,2,2A,126,0.052,0.092,0.042
E,6,E6,2,2A,127,0.053,0.092,0.043
F,6,F6,2,2A,128,0.069,0.157,0.043
G,6,G6,2,2A,129,0.071,0.163,0.044
H,6,H6,2,2A,130,0.056,0.097,0.045
A,7,A7,2,2A,131,0.065,0.133,0.045
B,7,B7,2,2A,132,0.074,0.164,0.043
C,7,C7,2,2A,133,0.064,0.124,0.044
D,7,D7,2,2A,134,0.068,0.157,0.044
E,7,E7,2,2A,135,0.053,0.1,0.041
F,7,F7,2,2A,136,0.063,0.135,0.043
G,7,G7,2,2A,137,0.052,0.094,0.041
H,7,H7,2,2A,138,0.057,0.107,0.045
A,8,A8,2,2A,139,0.049,0.07,0.046
B,8,B8,2,2A,140,0.058,0.111,0.043
C,8,C8,2,2A,141,0.057,0.102,0.043
D,8,D8,2,2A,142,0.056,0.103,0.043
E,8,E8,2,2A,143,0.057,0.105,0.04
F,8,F8,2,2A,144,0.06,0.118,0.041
G,8,G8,2,2A,145,0.06,0.13,0.04
H,8,H8,2,2A,146,0.054,0.092,0.043
A,9,A9,2,2A,147,0.059,0.088,0.045
B,9,B9,2,2A,148,0.063,0.122,0.044
C,9,C9,2,2A,149,0.057,0.11,0.043
D,9,D9,2,2A,150,0.056,0.101,0.043
E,9,E9,2,2A,151,0.071,0.166,0.041
F,9,F9,2,2A,152,0.055,0.104,0.042
G,9,G9,2,2A,153,0.063,0.136,0.042
H,9,H9,2,2A,154,0.068,0.15,0.045
A,10,A10,2,2A,155,0.064,0.132,0.044
A,1,A1,2,2B,78,0.089,0.224,0.037
B,1,B1,2,2B,79,0.072,0.168,0.037
C,1,C1,2,2B,80,0.07,0.161,0.038
D,1,D1,2,2B,82,0.076,0.187,0.038
E,1,E1,2,2B,83,0.07,0.158,0.037
F,1,F1,2,2B,84,0.1,0.26,0.037
G,1,G1,2,2B,85,0.096,0.256,0.038
H,1,H1,2,2B,86,0.051,0.091,0.04
A,2,A2,2,2B,87,0.085,0.195,0.043
B,2,B2,2,2B,88,0.057,0.103,0.043
C,2,C2,2,2B,89,0.068,0.142,0.043
D,2,D2,2,2B,90,0.108,0.282,0.043
E,2,E2,2,2B,91,0.052,0.095,0.04
F,2,F2,2,2B,92,0.08,0.192,0.04
G,2,G2,2,2B,93,0.081,0.188,0.041
H,2,H2,2,2B,94,0.073,0.156,0.042
A,3,A3,2,2B,96,0.064,0.133,0.044
B,3,B3,2,2B,98,0.083,0.191,0.042
C,3,C3,2,2B,99,0.081,0.189,0.042
D,3,D3,2,2B,100,0.081,0.179,0.042
E,3,E3,2,2B,101,0.087,0.2,0.04
F,3,F3,2,2B,102,0.085,0.191,0.042
G,3,G3,2,2B,103,0.095,0.223,0.042
H,3,H3,2,2B,104,0.065,0.128,0.046
A,4,A4,2,2B,105,0.075,0.152,0.042
B,4,B4,2,2B,106,0.124,0.33,0.042
C,4,C4,2,2B,107,0.105,0.265,0.041
D,4,D4,2,2B,108,0.057,0.111,0.04
E,4,E4,2,2B,109,0.088,0.212,0.039
F,4,F4,2,2B,110,0.098,0.251,0.039
G,4,G4,2,2B,111,0.047,0.07,0.042
H,4,H4,2,2B,112,0.07,0.151,0.042
A,5,A5,2,2B,113,0.099,0.233,0.047
B,5,B5,2,2B,114,0.067,0.141,0.042
C,5,C5,2,2B,116,0.073,0.164,0.04
D,5,D5,2,2B,117,0.064,0.131,0.04
E,5,E5,2,2B,119,0.043,0.056,0.04
F,5,F5,2,2B,120,0.058,0.112,0.042
G,5,G5,2,2B,121,0.078,0.178,0.046
H,5,H5,2,2B,122,0.064,0.126,0.045
A,6,A6,2,2B,123,0.075,0.179,0.044
B,6,B6,2,2B,124,0.071,0.157,0.042
C,6,C6,2,2B,125,0.054,0.101,0.041
D,6,D6,2,2B,126,0.053,0.099,0.042
E,6,E6,2,2B,127,0.054,0.097,0.042
F,6,F6,2,2B,128,0.072,0.174,0.041
G,6,G6,2,2B,129,0.065,0.146,0.042
H,6,H6,2,2B,130,0.064,0.11,0.049
A,7,A7,2,2B,131,0.066,0.144,0.043
B,7,B7,2,2B,132,0.077,0.181,0.042
C,7,C7,2,2B,133,0.064,0.13,0.042
D,7,D7,2,2B,134,0.072,0.172,0.043
E,7,E7,2,2B,135,0.056,0.109,0.04
F,7,F7,2,2B,136,0.063,0.143,0.04
G,7,G7,2,2B,137,0.054,0.102,0.042
H,7,H7,2,2B,138,0.062,0.117,0.047
A,8,A8,2,2B,139,0.049,0.074,0.044
B,8,B8,2,2B,140,0.061,0.116,0.044
C,8,C8,2,2B,141,0.059,0.112,0.042
D,8,D8,2,2B,142,0.057,0.11,0.042
E,8,E8,2,2B,143,0.058,0.11,0.039
F,8,F8,2,2B,144,0.062,0.128,0.039
G,8,G8,2,2B,145,0.064,0.141,0.042
H,8,H8,2,2B,146,0.054,0.095,0.043
A,9,A9,2,2B,147,0.052,0.09,0.042
B,9,B9,2,2B,148,0.066,0.132,0.046
C,9,C9,2,2B,149,0.06,0.118,0.043
D,9,D9,2,2B,150,0.055,0.106,0.042
E,9,E9,2,2B,151,0.076,0.184,0.042
F,9,F9,2,2B,152,0.057,0.111,0.041
G,9,G9,2,2B,153,0.066,0.148,0.042
H,9,H9,2,2B,154,0.071,0.165,0.044
A,10,A10,2,2B,155,0.067,0.144,0.043
A,1,A1,2,2C,78,0.08,0.184,0.04
B,1,B1,2,2C,79,0.064,0.134,0.038
C,1,C1,2,2C,80,0.064,0.136,0.039
D,1,D1,2,2C,82,0.07,0.16,0.039
E,1,E1,2,2C,83,0.067,0.137,0.04
F,1,F1,2,2C,84,0.09,0.229,0.038
G,1,G1,2,2C,85,0.09,0.218,0.042
H,1,H1,2,2C,86,0.048,0.079,0.04
A,2,A2,2,2C,87,0.091,0.17,0.072
B,2,B2,2,2C,88,0.059,0.097,0.047
C,2,C2,2,2C,89,0.064,0.124,0.045
D,2,D2,2,2C,90,0.096,0.234,0.044
E,2,E2,2,2C,91,0.058,0.094,0.046
F,2,F2,2,2C,92,0.075,0.159,0.045
G,2,G2,2,2C,93,0.077,0.167,0.042
H,2,H2,2,2C,94,0.07,0.138,0.043
A,3,A3,2,2C,96,0.065,0.119,0.05
B,3,B3,2,2C,98,0.15,0.197,0.06
C,3,C3,2,2C,99,0.075,0.159,0.046
D,3,D3,2,2C,100,0.076,0.155,0.044
E,3,E3,2,2C,101,0.081,0.175,0.043
F,3,F3,2,2C,102,0.086,0.188,0.043
G,3,G3,2,2C,103,0.064,0.125,0.042
H,3,H3,2,2C,104,0.072,0.136,0.05
A,4,A4,2,2C,105,0.07,0.128,0.047
B,4,B4,2,2C,106,0.107,0.269,0.044
C,4,C4,2,2C,107,0.095,0.225,0.043
D,4,D4,2,2C,108,0.056,0.1,0.042
E,4,E4,2,2C,109,0.08,0.181,0.04
F,4,F4,2,2C,110,0.094,0.224,0.046
G,4,G4,2,2C,111,0.051,0.071,0.047
H,4,H4,2,2C,112,0.07,0.141,0.045
A,5,A5,2,2C,113,0.142,0.274,0.095
B,5,B5,2,2C,114,0.072,0.135,0.05
C,5,C5,2,2C,116,0.071,0.146,0.044
