Row,Column,Well,Set,Plate,Wavelength,A562,Input,RandN,Fraction
C,11,C11,1,1B,562,0.986,Un,78,C
D,11,D11,1,1B,562,0.801,Un,79,C
E,11,E11,1,1B,562,0.902,Un,80,C
F,11,F11,1,1B,562,0.992,Un,82,C
G,11,G11,1,1B,562,0.896,Un,83,C
H,11,H11,1,1B,562,1.288,Un,84,C
C,12,C12,1,1B,562,0.822,Un,40,C
D,12,D12,1,1B,562,1.099,Un,39,C
A,1,A1,1,1C,562,2.512,Standard,St_A,C
B,1,B1,1,1C,562,1.976,Standard,St_B,C
C,1,C1,1,1C,562,1.416,Standard,St_C,C
D,1,D1,1,1C,562,1.13,Standard,St_D,C
E,1,E1,1,1C,562,0.826,Standard,St_E,C
F,1,F1,1,1C,562,0.492,Standard,St_F,C
G,1,G1,1,1C,562,0.308,Standard,St_G,C
H,1,H1,1,1C,562,0.137,Standard,St_H,C
A,2,A2,1,1C,562,0.102,Standard,St_I,C
B,2,B2,1,1C,562,0.973,Un,1,C
C,2,C2,1,1C,562,0.901,Un,2,C
D,2,D2,1,1C,562,0.954,Un,3,C
E,2,E2,1,1C,562,0.864,Un,4,C
F,2,F2,1,1C,562,0.515,Un,5,C
G,2,G2,1,1C,562,0.898,Un,6,C
H,2,H2,1,1C,562,1.057,Un,7,C
A,3,A3,1,1C,562,0.681,Un,8,C
B,3,B3,1,1C,562,0.992,Un,9,C
C,3,C3,1,1C,562,0.902,Un,10,C
D,3,D3,1,1C,562,0.573,Un,11,C
E,3,E3,1,1C,562,0.919,Un,12,C
F,3,F3,1,1C,562,0.915,Un,13,C
G,3,G3,1,1C,562,0.975,Un,14,C
H,3,H3,1,1C,562,0.813,Un,15,C
A,4,A4,1,1C,562,1.197,Un,16,C
B,4,B4,1,1C,562,1.003,Un,17,C
C,4,C4,1,1C,562,0.705,Un,18,C
D,4,D4,1,1C,562,0.918,Un,19,C
E,4,E4,1,1C,562,0.841,Un,20,C
F,4,F4,1,1C,562,1.101,Un,21,C
G,4,G4,1,1C,562,1.099,Un,23,C
H,4,H4,1,1C,562,0.854,Un,24,C
A,5,A5,1,1C,562,1.091,Un,25,C
B,5,B5,1,1C,562,0.56,Un,26,C
C,5,C5,1,1C,562,0.946,Un,27,C
D,5,D5,1,1C,562,1.124,Un,28,C
E,5,E5,1,1C,562,1.439,Un,29,C
F,5,F5,1,1C,562,0.941,Un,30,C
G,5,G5,1,1C,562,0.538,Un,31,C
H,5,H5,1,1C,562,0.682,Un,32,C
A,6,A6,1,1C,562,0.59,Un,33,C
B,6,B6,1,1C,562,0.786,Un,34,C
C,6,C6,1,1C,562,0.854,Un,35,C
D,6,D6,1,1C,562,0.645,Un,36,C
E,6,E6,1,1C,562,1.057,Un,37,C
F,6,F6,1,1C,562,0.827,Un,38,C
A,7,A7,1,1C,562,0.844,Un,41,C
B,7,B7,1,1C,562,0.993,Un,42,C
C,7,C7,1,1C,562,0.517,Un,44,C
D,7,D7,1,1C,562,0.902,Un,45,C
E,7,E7,1,1C,562,0.648,Un,46,C
F,7,F7,1,1C,562,0.667,Un,47,C
G,7,G7,1,1C,562,0.669,Un,48,C
H,7,H7,1,1C,562,0.961,Un,49,C
A,8,A8,1,1C,562,0.931,Un,50,C
B,8,B8,1,1C,562,1.151,Un,51,C
C,8,C8,1,1C,562,0.742,Un,52,C
D,8,D8,1,1C,562,0.78,Un,53,C
E,8,E8,1,1C,562,0.604,Un,54,C
F,8,F8,1,1C,562,0.519,Un,56,C
G,8,G8,1,1C,562,0.714,Un,57,C
H,8,H8,1,1C,562,1.192,Un,58,C
A,9,A9,1,1C,562,1.115,Un,59,C
B,9,B9,1,1C,562,1.326,Un,60,C
C,9,C9,1,1C,562,0.833,Un,61,C
D,9,D9,1,1C,562,0.868,Un,62,C
E,9,E9,1,1C,562,0.846,Un,63,C
F,9,F9,1,1C,562,0.593,Un,64,C
G,9,G9,1,1C,562,0.828,Un,65,C
H,9,H9,1,1C,562,0.949,Un,66,C
A,10,A10,1,1C,562,1.123,Un,67,C
B,10,B10,1,1C,562,0.99,Un,68,C
C,10,C10,1,1C,562,1.106,Un,69,C
D,10,D10,1,1C,562,1.121,Un,70,C
E,10,E10,1,1C,562,1.242,Un,71,C
F,10,F10,1,1C,562,1.234,Un,72,C
G,10,G10,1,1C,562,1.219,Un,73,C
H,10,H10,1,1C,562,0.92,Un,74,C
A,11,A11,1,1C,562,0.832,Un,75,C
B,11,B11,1,1C,562,1.265,Un,77,C
C,11,C11,1,1C,562,0.902,Un,78,C
D,11,D11,1,1C,562,0.691,Un,79,C
E,11,E11,1,1C,562,1.129,Un,80,C
F,11,F11,1,1C,562,1.088,Un,82,C
G,11,G11,1,1C,562,0.907,Un,83,C
H,11,H11,1,1C,562,1.282,Un,84,C
C,12,C12,1,1C,562,0.76,Un,40,C
D,12,D12,1,1C,562,1.111,Un,39,C
A,1,A1,2,2A,562,2.395,Standard,St_A,C
B,1,B1,2,2A,562,1.803,Standard,St_B,C
C,1,C1,2,2A,562,1.342,Standard,St_C,C
D,1,D1,2,2A,562,1.036,Standard,St_D,C
E,1,E1,2,2A,562,0.804,Standard,St_E,C
F,1,F1,2,2A,562,0.486,Standard,St_F,C
G,1,G1,2,2A,562,0.293,Standard,St_G,C
H,1,H1,2,2A,562,0.131,Standard,St_H,C
A,2,A2,2,2A,562,0.102,Standard,St_I,C
B,2,B2,2,2A,562,1.305,Un,85,C
C,2,C2,2,2A,562,0.618,Un,86,C
D,2,D2,2,2A,562,0.969,Un,87,C
E,2,E2,2,2A,562,0.7,Un,88,C
F,2,F2,2,2A,562,0.614,Un,89,C
G,2,G2,2,2A,562,1.058,Un,90,C
H,2,H2,2,2A,562,0.634,Un,91,C
A,3,A3,2,2A,562,0.989,Un,92,C
B,3,B3,2,2A,562,0.965,Un,93,C
C,3,C3,2,2A,562,0.887,Un,94,C
D,3,D3,2,2A,562,0.662,Un,96,C
E,3,E3,2,2A,562,0.91,Un,98,C
F,3,F3,2,2A,562,0.971,Un,99,C
G,3,G3,2,2A,562,1.013,Un,100,C
H,3,H3,2,2A,562,0.877,Un,101,C
A,4,A4,2,2A,562,1.163,Un,102,C
B,4,B4,2,2A,562,0.838,Un,103,C
C,4,C4,2,2A,562,0.698,Un,104,C
D,4,D4,2,2A,562,0.744,Un,105,C
E,4,E4,2,2A,562,1.264,Un,106,C
F,4,F4,2,2A,562,1.158,Un,107,C
G,4,G4,2,2A,562,0.808,Un,108,C
H,4,H4,2,2A,562,0.809,Un,109,C
A,5,A5,2,2A,562,1.433,Un,110,C
B,5,B5,2,2A,562,0.47,Un,111,C
C,5,C5,2,2A,562,0.654,Un,112,C
D,5,D5,2,2A,562,1.063,Un,113,C
E,5,E5,2,2A,562,0.786,Un,114,C
F,5,F5,2,2A,562,0.711,Un,116,C
G,5,G5,2,2A,562,0.815,Un,117,C
H,5,H5,2,2A,562,0.292,Un,119,C
A,6,A6,2,2A,562,0.678,Un,120,C
B,6,B6,2,2A,562,1.084,Un,121,C
C,6,C6,2,2A,562,0.995,Un,122,C
D,6,D6,2,2A,562,1.347,Un,123,C
E,6,E6,2,2A,562,1.009,Un,124,C
F,6,F6,2,2A,562,0.589,Un,125,C
G,6,G6,2,2A,562,0.719,Un,126,C
H,6,H6,2,2A,562,0.77,Un,127,C
A,7,A7,2,2A,562,0.948,Un,128,C
B,7,B7,2,2A,562,0.731,Un,129,C
C,7,C7,2,2A,562,1.534,Un,130,C
D,7,D7,2,2A,562,0.728,Un,131,C
E,7,E7,2,2A,562,0.426,Un,132,C
F,7,F7,2,2A,562,0.727,Un,133,C
G,7,G7,2,2A,562,0.858,Un,134,C
H,7,H7,2,2A,562,0.631,Un,135,C
A,8,A8,2,2A,562,0.842,Un,136,C
B,8,B8,2,2A,562,0.754,Un,137,C
C,8,C8,2,2A,562,0.743,Un,138,C
D,8,D8,2,2A,562,0.673,Un,139,C
E,8,E8,2,2A,562,0.641,Un,140,C
F,8,F8,2,2A,562,0.666,Un,141,C
G,8,G8,2,2A,562,0.738,Un,142,C
H,8,H8,2,2A,562,0.664,Un,143,C
A,9,A9,2,2A,562,0.623,Un,144,C
B,9,B9,2,2A,562,0.761,Un,145,C
C,9,C9,2,2A,562,0.785,Un,146,C
D,9,D9,2,2A,562,0.78,Un,147,C
E,9,E9,2,2A,562,0.892,Un,148,C
F,9,F9,2,2A,562,0.621,Un,149,C
G,9,G9,2,2A,562,0.814,Un,150,C
H,9,H9,2,2A,562,1.004,Un,151,C
A,10,A10,2,2A,562,0.755,Un,152,C
B,10,B10,2,2A,562,0.872,Un,153,C
C,10,C10,2,2A,562,0.822,Un,154,C
D,10,D10,2,2A,562,0.946,Un,155,C
E,10,E10,2,2A,562,0.723,Un,156,C
F,10,F10,2,2A,562,0.691,Un,157,C
G,10,G10,2,2A,562,0.92,Un,158,C
H,10,H10,2,2A,562,0.818,Un,159,C
A,11,A11,2,2A,562,0.753,Un,160,C
B,11,B11,2,2A,562,0.738,Un,161,C
C,11,C11,2,2A,562,0.661,Un,162,C
D,11,D11,2,2A,562,0.848,Un,163,C
E,11,E11,2,2A,562,0.726,Un,164,C
F,11,F11,2,2A,562,0.856,Un,165,C
G,11,G11,2,2A,562,0.849,Un,166,C
H,11,H11,2,2A,562,0.823,Un,167,C
A,1,A1,2,2B,562,2.323,Standard,St_A,C
B,1,B1,2,2B,562,1.672,Standard,St_B,C
C,1,C1,2,2B,562,1.32,Standard,St_C,C
D,1,D1,2,2B,562,1.146,Standard,St_D,C
E,1,E1,2,2B,562,0.822,Standard,St_E,C
F,1,F1,2,2B,562,0.488,Standard,St_F,C
G,1,G1,2,2B,562,0.303,Standard,St_G,C
H,1,H1,2,2B,562,0.129,Standard,St_H,C
A,2,A2,2,2B,562,0.097,Standard,St_I,C
B,2,B2,2,2B,562,1.286,Un,85,C
C,2,C2,2,2B,562,0.632,Un,86,C
D,2,D2,2,2B,562,0.96,Un,87,C
E,2,E2,2,2B,562,0.718,Un,88,C
F,2,F2,2,2B,562,0.634,Un,89,C
G,2,G2,2,2B,562,1.131,Un,90,C
H,2,H2,2,2B,562,0.619,Un,91,C
A,3,A3,2,2B,562,0.985,Un,92,C
B,3,B3,2,2B,562,0.982,Un,93,C
C,3,C3,2,2B,562,0.904,Un,94,C
D,3,D3,2,2B,562,0.659,Un,96,C
E,3,E3,2,2B,562,0.924,Un,98,C
F,3,F3,2,2B,562,0.932,Un,99,C
G,3,G3,2,2B,562,0.934,Un,100,C
H,3,H3,2,2B,562,0.926,Un,101,C
A,4,A4,2,2B,562,1.227,Un,102,C
B,4,B4,2,2B,562,0.866,Un,103,C
C,4,C4,2,2B,562,0.717,Un,104,C
D,4,D4,2,2B,562,0.768,Un,105,C
E,4,E4,2,2B,562,1.337,Un,106,C
F,4,F4,2,2B,562,1.193,Un,107,C
G,4,G4,2,2B,562,0.804,Un,108,C
H,4,H4,2,2B,562,0.834,Un,109,C
A,5,A5,2,2B,562,1.476,Un,110,C
B,5,B5,2,2B,562,0.475,Un,111,C
C,5,C5,2,2B,562,0.702,Un,112,C
D,5,D5,2,2B,562,1.153,Un,113,C
E,5,E5,2,2B,562,0.743,Un,114,C
F,5,F5,2,2B,562,0.732,Un,116,C
G,5,G5,2,2B,562,0.847,Un,117,C
H,5,H5,2,2B,562,0.296,Un,119,C
A,6,A6,2,2B,562,0.666,Un,120,C
B,6,B6,2,2B,562,1.168,Un,121,C
C,6,C6,2,2B,562,0.951,Un,122,C
D,6,D6,2,2B,562,1.344,Un,123,C
E,6,E6,2,2B,562,0.972,Un,124,C
F,6,F6,2,2B,562,0.615,Un,125,C
G,6,G6,2,2B,562,0.764,Un,126,C
H,6,H6,2,2B,562,0.755,Un,127,C
A,7,A7,2,2B,562,1.028,Un,128,C
B,7,B7,2,2B,562,0.734,Un,129,C
C,7,C7,2,2B,562,0.841,Un,130,C
D,7,D7,2,2B,562,0.803,Un,131,C
E,7,E7,2,2B,562,0.46,Un,132,C
F,7,F7,2,2B,562,0.7,Un,133,C
G,7,G7,2,2B,562,0.829,Un,134,C
H,7,H7,2,2B,562,0.68,Un,135,C
A,8,A8,2,2B,562,0.832,Un,136,C
B,8,B8,2,2B,562,0.721,Un,137,C
C,8,C8,2,2B,562,0.744,Un,138,C
D,8,D8,2,2B,562,0.737,Un,139,C
E,8,E8,2,2B,562,0.609,Un,140,C
F,8,F8,2,2B,562,0.685,Un,141,C
G,8,G8,2,2B,562,0.75,Un,142,C
H,8,H8,2,2B,562,0.711,Un,143,C
A,9,A9,2,2B,562,0.589,Un,144,C
B,9,B9,2,2B,562,0.821,Un,145,C
C,9,C9,2,2B,562,0.809,Un,146,C
D,9,D9,2,2B,562,0.763,Un,147,C
E,9,E9,2,2B,562,0.873,Un,148,C
F,9,F9,2,2B,562,0.573,Un,149,C
G,9,G9,2,2B,562,0.835,Un,150,C
H,9,H9,2,2B,562,1.004,Un,151,C
A,10,A10,2,2B,562,0.754,Un,152,C
B,10,B10,2,2B,562,0.902,Un,153,C
C,10,C10,2,2B,562,0.755,Un,154,C
D,10,D10,2,2B,562,0.916,Un,155,C
E,10,E10,2,2B,562,0.732,Un,156,C
F,10,F10,2,2B,562,0.745,Un,157,C
G,10,G10,2,2B,562,0.846,Un,158,C
H,10,H10,2,2B,562,0.817,Un,159,C
A,11,A11,2,2B,562,0.733,Un,160,C
B,11,B11,2,2B,562,0.767,Un,161,C
C,11,C11,2,2B,562,0.727,Un,162,C
D,11,D11,2,2B,562,0.834,Un,163,C
E,11,E11,2,2B,562,0.749,Un,164,C
F,11,F11,2,2B,562,0.8,Un,165,C
G,11,G11,2,2B,562,0.849,Un,166,C
H,11,H11,2,2B,562,0.797,Un,167,C
A,1,A1,2,2C,562,2.074,Standard,St_A,C
B,1,B1,2,2C,562,1.774,Standard,St_B,C
C,1,C1,2,2C,562,1.317,Standard,St_C,C
D,1,D1,2,2C,562,1.075,Standard,St_D,C
E,1,E1,2,2C,562,0.764,Standard,St_E,C
F,1,F1,2,2C,562,0.452,Standard,St_F,C
G,1,G1,2,2C,562,0.281,Standard,St_G,C
H,1,H1,2,2C,562,0.136,Standard,St_H,C
A,2,A2,2,2C,562,0.096,Standard,St_I,C
B,2,B2,2,2C,562,1.283,Un,85,C
C,2,C2,2,2C,562,0.599,Un,86,C
D,2,D2,2,2C,562,0.957,Un,87,C
E,2,E2,2,2C,562,0.686,Un,88,C
F,2,F2,2,2C,562,0.607,Un,89,C
G,2,G2,2,2C,562,1.045,Un,90,C
H,2,H2,2,2C,562,0.637,Un,91,C
A,3,A3,2,2C,562,0.861,Un,92,C
B,3,B3,2,2C,562,0.86,Un,93,C
C,3,C3,2,2C,562,0.843,Un,94,C
D,3,D3,2,2C,562,0.608,Un,96,C
E,3,E3,2,2C,562,0.891,Un,98,C
F,3,F3,2,2C,562,0.907,Un,99,C
G,3,G3,2,2C,562,0.977,Un,100,C
H,3,H3,2,2C,562,0.852,Un,101,C
A,4,A4,2,2C,562,1.206,Un,102,C
B,4,B4,2,2C,562,0.871,Un,103,C
C,4,C4,2,2C,562,0.681,Un,104,C
D,4,D4,2,2C,562,0.757,Un,105,C
E,4,E4,2,2C,562,1.159,Un,106,C
F,4,F4,2,2C,562,1.127,Un,107,C
G,4,G4,2,2C,562,0.765,Un,108,C
H,4,H4,2,2C,562,0.796,Un,109,C
A,5,A5,2,2C,562,1.411,Un,110,C
B,5,B5,2,2C,562,0.438,Un,111,C
C,5,C5,2,2C,562,0.693,Un,112,C
D,5,D5,2,2C,562,1.078,Un,113,C
E,5,E5,2,2C,562,0.731,Un,114,C
F,5,F5,2,2C,562,0.686,Un,116,C
G,5,G5,2,2C,562,0.779,Un,117,C
H,5,H5,2,2C,562,0.268,Un,119,C
A,6,A6,2,2C,562,0.771,Un,120,C
B,6,B6,2,2C,562,1.094,Un,121,C
C,6,C6,2,2C,562,0.938,Un,122,C
D,6,D6,2,2C,562,0.902,Un,123,C
E,6,E6,2,2C,562,0.954,Un,124,C
F,6,F6,2,2C,562,0.576,Un,125,C
G,6,G6,2,2C,562,0.747,Un,126,C
H,6,H6,2,2C,562,0.752,Un,127,C
A,7,A7,2,2C,562,0.98,Un,128,C
B,7,B7,2,2C,562,0.719,Un,129,C
C,7,C7,2,2C,562,0.705,Un,130,C
D,7,D7,2,2C,562,0.683,Un,131,C
E,7,E7,2,2C,562,0.441,Un,132,C
F,7,F7,2,2C,562,0.689,Un,133,C
G,7,G7,2,2C,562,0.916,Un,134,C
H,7,H7,2,2C,562,0.667,Un,135,C
A,8,A8,2,2C,562,0.797,Un,136,C
B,8,B8,2,2C,562,0.719,Un,137,C
C,8,C8,2,2C,562,0.737,Un,138,C
D,8,D8,2,2C,562,0.65,Un,139,C
E,8,E8,2,2C,562,0.66,Un,140,C
F,8,F8,2,2C,562,0.686,Un,141,C
G,8,G8,2,2C,562,0.673,Un,142,C
H,8,H8,2,2C,562,0.628,Un,143,C
A,9,A9,2,2C,562,0.564,Un,144,C
B,9,B9,2,2C,562,0.785,Un,145,C
C,9,C9,2,2C,562,0.815,Un,146,C
D,9,D9,2,2C,562,0.731,Un,147,C
E,9,E9,2,2C,562,0.884,Un,148,C
F,9,F9,2,2C,562,0.613,Un,149,C
G,9,G9,2,2C,562,0.769,Un,150,C
H,9,H9,2,2C,562,0.943,Un,151,C
A,10,A10,2,2C,562,0.679,Un,152,C
B,10,B10,2,2C,562,0.866,Un,153,C
C,10,C10,2,2C,562,0.831,Un,154,C
D,10,D10,2,2C,562,0.87,Un,155,C
E,10,E10,2,2C,562,0.701,Un,156,C
F,10,F10,2,2C,562,0.68,Un,157,C
G,10,G10,2,2C,562,0.905,Un,158,C
H,10,H10,2,2C,562,0.778,Un,159,C
A,11,A11,2,2C,562,0.746,Un,160,C
B,11,B11,2,2C,562,0.739,Un,161,C
C,11,C11,2,2C,562,0.64,Un,162,C
D,11,D11,2,2C,562,0.857,Un,163,C
E,11,E11,2,2C,562,0.711,Un,164,C
F,11,F11,2,2C,562,0.852,Un,165,C
G,11,G11,2,2C,562,0.825,Un,166,C
H,11,H11,2,2C,562,0.822,Un,167,C
A,1,A1,3,3A,562,2.183,Standard,St_A,C
B,1,B1,3,3A,562,1.604,Standard,St_B,C
C,1,C1,3,3A,562,1.225,Standard,St_C,C
D,1,D1,3,3A,562,1.032,Standard,St_D,C
E,1,E1,3,3A,562,0.743,Standard,St_E,C
F,1,F1,3,3A,562,0.404,Standard,St_F,C
G,1,G1,3,3A,562,0.251,Standard,St_G,C
H,1,H1,3,3A,562,0.128,Standard,St_H,C
A,2,A2,3,3A,562,0.106,Standard,St_I,C
B,2,B2,3,3A,562,0.734,Un,168,C
C,2,C2,3,3A,562,0.694,Un,169,C
D,2,D2,3,3A,562,0.697,Un,170,C
E,2,E2,3,3A,562,0.723,Un,171,C
F,2,F2,3,3A,562,0.63,Un,172,C
G,2,G2,3,3A,562,0.631,Un,173,C
H,2,H2,3,3A,562,0.674,Un,174,C
A,3,A3,3,3A,562,0.713,Un,175,C
B,3,B3,3,3A,562,0.851,Un,176,C
C,3,C3,3,3A,562,0.989,Un,177,C
